,Reference_Product,Product_Desciption,Product_Price,Disponibility
79,[SM-A307F-WH],"Double SIM - Ecran 6.4"" HD+ Super AMOLED - Processeur Exynos 7904 Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53) - RAM 4 Go - Mémoire 64 Go - Android 9.0 Pie - Triple caméra arrière 25.0 MP + 5.0 MP + 8.0 MP / Caméra frontale 16 MP - Lecteur d'empreinte digitale - 4G - Bluetooth 5.0 - GPS - Wifi - Wifi Direct - NFC - Batterie 4000 mAh - Garantie 1 an + SIM Orange 60 Go","899,000 TND",En stock
80,[SM-A307F-GR],"Double SIM - Ecran 6.4"" HD+ Super AMOLED - Processeur Exynos 7904 Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53) - RAM 4 Go - Mémoire 64 Go - Android 9.0 Pie - Triple caméra arrière 25.0 MP + 5.0 MP + 8.0 MP / Caméra frontale 16 MP - Lecteur d'empreinte digitale - 4G - Bluetooth 5.0 - GPS - Wifi - Wifi Direct - NFC - Batterie 4000 mAh - Garantie 1 an + SIM Orange 60 Go","899,000 TND",En stock
81,[P30-LITE-BK],"Double SIM - Ecran 6.15"" Full HD+ - Résolution: 2312 x 1080p - Processeur Kirin 710 Octa-core, 4 x Cortex-A73 2.2 GHz + 4 x Cortex-A53 1.7 GHz - Android 9.0 - RAM 4 Go - Mémoire 128 Go - Triple caméra arrière: 24 MP + 8 MP + 2 MP - Caméra avant: 32 MP - Wifi - 4G - GPS - Bluetooth - NFC - Lecteur d'empreinte digitale - Batterie 3340 mAh - Garantie 1 an + SIM Orange 60 Go","945,000 TND",En stock
82,[P30-LITE-BL],"Double SIM - Ecran 6.15"" Full HD+ - Résolution: 2312 x 1080p - Processeur Kirin 710 Octa-core, 4 x Cortex-A73 2.2 GHz + 4 x Cortex-A53 1.7 GHz - Android 9.0 - RAM 4 Go - Mémoire 128 Go - Triple caméra arrière: 24 MP + 8 MP + 2 MP - Caméra avant: 32 MP - Wifi - 4G - GPS - Bluetooth - NFC - Lecteur d'empreinte digitale - Batterie 3340 mAh - Garantie 1 an + SIM Orange 60 Go","945,000 TND",En stock
83,[P30-LITE-WH],"Double SIM - Ecran 6.15"" Full HD+ - Résolution: 2312 x 1080p - Processeur Kirin 710 Octa-core, 4 x Cortex-A73 2.2 GHz + 4 x Cortex-A53 1.7 GHz - Android 9.0 - RAM 4 Go - Mémoire 128 Go - Triple caméra arrière: 24 MP + 8 MP + 2 MP - Caméra avant: 32 MP - Wifi - 4G - GPS - Bluetooth - NFC - Lecteur d'empreinte digitale - Batterie 3340 mAh - Garantie 1 an + SIM Orange 60 Go","945,000 TND",En stock
84,[OPPO-F11PRO-GR],"Double SIM - Ecran 6.5"" TFT LTPS IPS - Processeur Mediatek Helio P70, Octa-core (4x2.1GHz Cortex-A73 & 4x2GHz Cortex-A53) - Android 9.0 - RAM 6Go - Mémoire 128Go jusqu'à 256 - Appareil Photo Dual 48 MP + 5 MP /Frontale 16 MP - Wifi - Bluetooth - Batterie Li-Po 4000mAh - Garantie 1 an + SIM Orange 60 Go
* Ce Produit est disponible exclusivement dans notre magasin.","1 049,000 TND",En stock
85,[OPPO-F11PRO-BK],"Double SIM - Ecran 6.5"" TFT LTPS IPS - Processeur Mediatek Helio P70, Octa-core (4x2.1GHz Cortex-A73 & 4x2GHz Cortex-A53) - Android 9.0 - RAM 6Go - Mémoire 128Go jusqu'à 256 - Appareil Photo Dual 48 MP + 5 MP /Frontale 16 MP - Wifi - Bluetooth - Batterie Li-Po 4000mAh - Garantie 1 an + SIM Orange 60 Go
* Ce Produit est disponible exclusivement dans notre magasin.","1 049,000 TND",En stock
86,[SM-A505-WH],"Double SIM - Ecran Infinity-U 6.4"" FHD+ sAMOLED - Processeur Exynos 9610 Octo-Core 4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53 - RAM 4 Go - Mémoire 128 Go - Android 9.0 Pie - Triple caméra arrière: 25MP + 5MP + 8MP / Caméra frontale: 25MP - Lecteur d'empreinte sur l'écran - 4G - Bluetooth 5.0 - GPS - Wifi - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","1 169,000 TND",En stock
87,[SM-A505-BK],"Double SIM - Ecran Infinity-U 6.4"" FHD+ sAMOLED - Processeur Exynos 9610 Octo-Core 4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53 - RAM 4 Go - Mémoire 128 Go - Android 9.0 Pie - Triple caméra arrière: 25MP + 5MP + 8MP / Caméra frontale: 25MP - Lecteur d'empreinte sur l'écran - 4G - Bluetooth 5.0 - GPS - Wifi - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","1 169,000 TND",En stock
88,[SM-A505-BL],"Double SIM - Ecran Infinity-U 6.4"" FHD+ sAMOLED - Processeur Exynos 9610 Octo-Core 4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53 - RAM 4 Go - Mémoire 128 Go - Android 9.0 Pie - Triple caméra arrière: 25MP + 5MP + 8MP / Caméra frontale: 25MP - Lecteur d'empreinte sur l'écran - 4G - Bluetooth 5.0 - GPS - Wifi - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","1 169,000 TND",En stock
89,[SM-A705F-BK],"Double SIM - Ecran 6.7"" FHD+ sAMOLED - Processeur Qualcomm SDM675 Snapdragon 675 Octo-Core 2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver - RAM 6 Go - Mémoire 128 Go - Android 9.0 Pie - Triple caméra arrière: 32MP + 5MP + 8MP / Caméra frontale: 32MP - Capteur d'empreintes digitales - 4G - Bluetooth 5.0 - GPS - Wifi - NFC - Batterie 4500 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","1 559,000 TND",
90,[SM-A805FD-BK],"Double SIM - Ecran 6.7"" FHD+ sAMOLED - Processeur Qualcomm Snapdragon 7150 Octo-Core, 2.2 GHz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie + Surcouche Samsung One UI - Triple capteur rotatif: 48MP, f/2.0, Capteur ultra grand angle 8 MP, f/2.2 - lecteur d'empreinte digitale sous l'écran - 4G - Bluetooth 5.0 - GPS - Wifi - NFC - Batterie 3700 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","2 499,000 TND",
91,[SM-A805FD-GO],"Double SIM - Ecran 6.7"" FHD+ sAMOLED - Processeur Qualcomm Snapdragon 7150 Octo-Core, 2.2 GHz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie + Surcouche Samsung One UI - Triple capteur rotatif: 48MP, f/2.0, Capteur ultra grand angle 8 MP, f/2.2 - lecteur d'empreinte digitale sous l'écran - 4G - Bluetooth 5.0 - GPS - Wifi - NFC - Batterie 3700 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","2 499,000 TND",
92,[SM-A805FD-GH],"Double SIM - Ecran 6.7"" FHD+ sAMOLED - Processeur Qualcomm Snapdragon 7150 Octo-Core, 2.2 GHz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie + Surcouche Samsung One UI - Triple capteur rotatif: 48MP, f/2.0, Capteur ultra grand angle 8 MP, f/2.2 - lecteur d'empreinte digitale sous l'écran - 4G - Bluetooth 5.0 - GPS - Wifi - NFC - Batterie 3700 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)","2 499,000 TND",
93,[OPPO-RENO10X-BK],"Double SIM - Écran 6.6'' Gorilla Glass 6 - 1080 x 2340 px - Processeur Qualcomm Snapdragon SM8150 Octa-core (1x2.84GHz & 3x2.42GHz & 4x1.78GHz Kryo 485) - Android 9.0 - RAM 8Go - Mémoire 256Go - Appareil Photo: Triple Arrière 48MP + 8MP + 13MP / Frontale 16MP F2.0 - Wifi - Bluetooth - NFC - Batterie 4065mAh - Garantie 1 an
* Ce Produit est disponible exclusivement dans notre magasin.","2 599,000 TND",
94,[OPPO-RENO10X-GR],"Double SIM - Écran 6.6'' Gorilla Glass 6 - 1080 x 2340 px - Processeur Qualcomm Snapdragon SM8150 Octa-core (1x2.84GHz & 3x2.42GHz & 4x1.78GHz Kryo 485) - Android 9.0 - RAM 8Go - Mémoire 256Go - Appareil Photo: Triple Arrière 48MP + 8MP + 13MP / Frontale 16MP F2.0 - Wifi - Bluetooth - NFC - Batterie 4065mAh - Garantie 1 an
* Ce Produit est disponible exclusivement dans notre magasin.","2 599,000 TND",
95,[SM-G970F-WH],"Double SIM - Ecran Infinity 5.8"" FHD+ (1080 x 2280 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 6 Go - Mémoire 128 Go - Android 9.0 Pie / Samsung One UI - Appareils Photos: 2x Capteurs: 12+16 MP (Arrière) / 10 MP (Frontale) - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 3100 mAh - Garantie 1 an","2 899,000 TND",
96,[SM-G970F-BK],"Double SIM - Ecran Infinity 5.8"" FHD+ (1080 x 2280 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 6 Go - Mémoire 128 Go - Android 9.0 Pie / Samsung One UI - Appareils Photos: 2x Capteurs: 12+16 MP (Arrière) / 10 MP (Frontale) - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 3100 mAh - Garantie 1 an","2 899,000 TND",
97,[SM-970BL],"Double SIM - Ecran Infinity 5.8"" FHD+ (1080 x 2280 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 6 Go - Mémoire 128 Go - Android 9.0 Pie / Samsung One UI - Appareils Photos: 2x Capteurs: 12+16 MP (Arrière) / 10 MP (Frontale) - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 3100 mAh - Garantie 1 an","2 899,000 TND",
98,[IPH-8-GO],"Ecran 4.7'' - Processeur Hexa-core (2x Monsoon + 4x Mistral) - Ram 2 Go - Mémoire de stockage 64 Go - 2 x Appreil Photo 12 MP (arriére) , 7 MP ( Frontale ) - Lecteur d'empreinte digitale - Fast Charging & Qi Wireless Charging - IOS 11 - Batterie : 1821 Mah - 4G - GPS- Couleur Gold - Garantie 1 an + SIM Orange Offerte (60 Go)","3 149,000 TND",
99,[SM-G973-BL],"Double SIM - Ecran Infinity 6.1"" QHD+ (1440 x 3040 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie - Batterie 3400 mAh - Appareils Photos: 3x Capteurs: 12+12+16 MP (Arrière) / 10 MP (Frontale) - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 3400 mAh - Garantie 1 an","3 499,000 TND",
100,[SM-973F-WH],"Double SIM - Ecran Infinity 6.1"" QHD+ (1440 x 3040 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie - Batterie 3400 mAh - Appareils Photos: 3x Capteurs: 12+12+16 MP (Arrière) / 10 MP (Frontale) - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 3400 mAh - Garantie 1 an","3 499,000 TND",
101,[SM-G973F-BK],"Double SIM - Ecran Infinity 6.1"" QHD+ (1440 x 3040 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie - Batterie 3400 mAh - Appareils Photos: 3x Capteurs: 12+12+16 MP (Arrière) / 10 MP (Frontale) - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 3400 mAh - Garantie 1 an","3 499,000 TND",
102,[SM-N970F/DS-BK],"Ecran Infinity 6.3’’ Dynamic AMOLED - Résolution Full HD+ 1080 x 2280 pixels - Processeur Exynos 9825 Octo-Core 2.7GHz - Android 9.0 Pie - RAM 8 Go - Mémoire 256 Go - APN: Triple capteur 12MP Dual Pixel + Ultra Grand Angle 16MP + Téléobjectif 12MP, caméra frontale 10MP Dual Pixel - WiFi - Bluetooth - NFC - Capteur d'empreintes - S Pen - Garantie 1 an + SIM Orange 60Go","3 599,000 TND",
103,[SM-N970F/DS-WH],"Ecran Infinity 6.3’’ Dynamic AMOLED - Résolution Full HD+ 1080 x 2280 pixels - Processeur Exynos 9825 Octo-Core 2.7GHz - Android 9.0 Pie - RAM 8 Go - Mémoire 256 Go - APN: Triple capteur 12MP Dual Pixel + Ultra Grand Angle 16MP + Téléobjectif 12MP, caméra frontale 10MP Dual Pixel - WiFi - Bluetooth - NFC - Capteur d'empreintes - S Pen - Garantie 1 an + SIM Orange 60Go + Galaxy Buds Offert","3 599,000 TND",
104,[SM-G975F-WH],"Double SIM - Ecran Infinity 6.4"" QHD+ (1440 x 3040 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie/ Samsung One UI - Appareils Photos: 3x Capteurs Arrière: 12+12+16 MP / 2x Capteurs Frontaux 10+8 MP - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 4100 mAh - Garantie 1 an","3 899,000 TND",
105,[SM-G975F-BK],"Double SIM - Ecran Infinity 6.4"" QHD+ (1440 x 3040 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie/ Samsung One UI - Appareils Photos: 3x Capteurs Arrière: 12+12+16 MP / 2x Capteurs Frontaux 10+8 MP - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 4100 mAh - Garantie 1 an","3 899,000 TND",
106,[SM-G975-PB],"Double SIM - Ecran Infinity 6.4"" QHD+ (1440 x 3040 px) Gorilla Glass 6 - Processeur Exynos 9820 Octo-Core, 2.8 Ghz - RAM 8 Go - Mémoire 128 Go - Android 9.0 Pie/ Samsung One UI - Appareils Photos: 3x Capteurs Arrière: 12+12+16 MP / 2x Capteurs Frontaux 10+8 MP - Lecteur d'empreinte ultrasonique - Reconnaissance faciale - 4G - NFC - Bluetooth 5.0 - GPS - Wifi - Batterie 4100 mAh - Garantie 1 an","3 899,000 TND",
107,[IPHXR-64-RD],"Écran Liquid Retina HD 6.1"" LCD Multi-Touch IPS - Processeur A12 Bionic - RAM 3 Go - Mémoire 64 Go - Appareil photo 12 MP ( Arriére ) , 7 MP ( Frontale ) - 4G - NFC - GPS - Face ID: reconnaissance faciale - Couleur Rouge - Garantie 1 an + SIM Orange Offerte (60Go)","3 999,000 TND",
108,[P30-PRO-NC],"Double SIM - Ecran 6.47"" OLED Full HD+ - Processeur Kirin 980 Octa-core, 2x 2.6 GHz (Cortex-A76) + 2x 1.92 GHz (Cortex-A76) + 4x 1.8 GHz (Cortex-A55) - Android 9 - RAM 8 Go - Mémoire 256 Go - Caméra arrière Leica: 40MP + 20MP + 8MP - Caméra avant: 32MP - Wifi - 4G - GPS - Bluetooth - NFC - Lecteur d'empreinte digitale - Batterie 4200 mAh - Étanche IP68 - Garantie 1 an + SIM Orange Offerte (60 Go)","3 999,000 TND",
109,[P30-PRO-AU],"Double SIM - Ecran 6.47"" OLED Full HD+ - Processeur Kirin 980 Octa-core, 2x 2.6 GHz (Cortex-A76) + 2x 1.92 GHz (Cortex-A76) + 4x 1.8 GHz (Cortex-A55) - Android 9 - RAM 8 Go - Mémoire 256 Go - Caméra arrière Leica: 40MP + 20MP + 8MP - Caméra avant: 32MP - Wifi - 4G - GPS - Bluetooth - NFC - Lecteur d'empreinte digitale - Batterie 4200 mAh - Étanche IP68 - Garantie 1 an + SIM Orange Offerte (60 Go)","3 999,000 TND",
110,[IPHX-64-SL],"Ecran Super Retina 5.8"" HD OLED Multi-Touch - Processeur Bionic Hexa-Core 64 bits - RAM 3 Go - Mémoire 64 Go - Appareil photo 12 MP (Arrière), 7 MP (Frontale) - 4G - NFC - GPS - Face ID: reconnaissance faciale - Couleur Silver - Garantie 1 an + SIM Orange Offerte (60Go)","4 100,000 TND",
111,[IPHX-64-SG],"Ecran Super Retina 5.8"" HD OLED Multi-Touch - Processeur Bionic Hexa-Core 64 bits - RAM 3 Go - Mémoire 64 Go - Appareil photo 12 MP (Arrière), 7 MP (Frontale) - 4G - NFC - GPS - Face ID: reconnaissance faciale - Couleur Silver - Garantie 1 an + SIM Orange Offerte (60Go)","4 100,000 TND",
112,[SM-N975F/DS-SL],"Ecran Infinity 6.8"" Dynamic AMOLED - Quad HD+ 1440 x 3040 - Processeur Exynos 9825 Octo-Core 2.7GHz - Android 9.0 Pie - RAM 12 Go - Mémoire 256 Go - APN: Quadruple capteur 12MP Dual Pixel + Ultra Grand Angle 16MP + Téléobjectif 12MP ToF, HDR10+, caméra frontale 10MP Dual Pixel - WiFi - Bluetooth - NFC - Capteur d'empreintes - S Pen - Garantie 1 an + SIM Orange 60Go","4 199,000 TND",
113,[SM-N975F/DS-BK],"Ecran Infinity 6.8"" Dynamic AMOLED - Quad HD+ 1440 x 3040 - Processeur Exynos 9825 Octo-Core 2.7GHz - Android 9.0 Pie - RAM 12 Go - Mémoire 256 Go - APN: Quadruple capteur 12MP Dual Pixel + Ultra Grand Angle 16MP + Téléobjectif 12MP ToF, HDR10+, caméra frontale 10MP Dual Pixel - WiFi - Bluetooth - NFC - Capteur d'empreintes - S Pen - Garantie 1 an + SIM Orange 60Go","4 199,000 TND",
114,[SM-N975F/DS-WH],"Ecran Infinity 6.8"" Dynamic AMOLED - Quad HD+ 1440 x 3040 - Processeur Exynos 9825 Octo-Core 2.7GHz - Android 9.0 Pie - RAM 12 Go - Mémoire 256 Go - APN: Quadruple capteur 12MP Dual Pixel + Ultra Grand Angle 16MP + Téléobjectif 12MP ToF, HDR10+, caméra frontale 10MP Dual Pixel - WiFi - Bluetooth - NFC - Capteur d'empreintes - S Pen - Garantie 1 an + SIM Orange 60Go","4 199,000 TND",
